title,release_year,score,main_genre,main_production
White Christmas,1954,7.5,romance,US
The Guns of Navarone,1961,7.5,war,US
My Fair Lady,1964,7.8,drama,US
Bonnie and Clyde,1967,7.7,drama,US
Dirty Harry,1971,7.7,thriller,US
The Exorcist,1973,8.1,horror,US
Monty Python and the Holy Grail,1975,8.2,comedy,GB
Taxi Driver,1976,8.3,crime,US
Life of Brian,1979,8,comedy,GB
The Blue Lagoon,1980,5.8,romance,US
Annie,1982,6.6,drama,US
Christine,1983,6.7,horror,US
Once Upon a Time in America,1984,8.3,drama,US
Stand by Me,1986,8.1,drama,US
Full Metal Jacket,1987,8.3,drama,GB
When Harry Met Sally...,1989,7.7,romance,US
Awakenings,1990,7.8,drama,US
My Girl,1991,6.9,comedy,US
A River Runs Through It,1992,7.2,drama,US
Menace II Society,1993,7.5,drama,US
Forrest Gump,1994,8.8,drama,US
Desperado,1995,7.1,thriller,US
Happy Gilmore,1996,7,comedy,US
Neon Genesis Evangelion: The End of Evangelion,1997,8,scifi,JP
Saving Private Ryan,1998,8.6,drama,US
"Girl, Interrupted",1999,7.3,drama,US
The Patriot,2000,7.2,drama,DE
Lagaan: Once Upon a Time in India,2001,8.1,drama,IN
Road to Perdition,2002,7.7,thriller,US
Big Fish,2003,8,drama,US
Swades,2004,8.1,drama,IN
Memoirs of a Geisha,2005,7.3,drama,FR
Rang De Basanti,2006,8.1,comedy,IN
Like Stars on Earth,2007,8.3,drama,IN
Ip Man,2008,8,drama,HK
3 Idiots,2009,8.4,comedy,IN
Inception,2010,8.8,scifi,GB
Warrior,2011,8.2,drama,US
Django Unchained,2012,8.4,western,US
Rush,2013,8.1,drama,US
Queen,2014,8.2,drama,IN
Drishyam,2015,8.2,thriller,IN
Dangal,2016,8.4,action,IN
Bāhubali 2: The Conclusion,2017,8.2,fantasy,IN
Andhadhun,2018,8.2,thriller,IN
Dave Chappelle: Sticks & Stones,2019,8.4,comedy,US
David Attenborough: A Life on Our Planet,2020,9,documentary,GB
Bo Burnham: Inside,2021,8.7,comedy,US
The Tinder Swindler,2022,7.2,crime,GB
